module,n_ids,n_events,c_index
AAA_2013J,376,25,0.9460440074906367
AAA_2014J,352,34,0.9176724137931035
BBB_2013B,1506,88,0.9399577700335411
BBB_2013J,1812,81,0.9677713300950885
BBB_2014B,1251,53,0.9417729161487375
BBB_2014J,1860,180,0.978234757461438
CCC_2014B,1604,249,0.9296300838855233
CCC_2014J,2198,424,0.959429999285679
DDD_2013B,1176,130,0.9499693768182514
DDD_2013J,1683,185,0.9713947836829572
DDD_2014B,1066,124,0.9477441291682408
DDD_2014J,1574,257,0.970092040819421
EEE_2013J,931,50,0.9825288140549233
EEE_2014B,606,25,0.9708872458410351
EEE_2014J,1060,103,0.9703218726360314
FFF_2013B,1478,114,0.9550895637516784
FFF_2013J,2019,182,0.9531117807078057
FFF_2014B,1325,117,0.9604337678421161
FFF_2014J,2038,329,0.9554669373288456
GGG_2013J,878,8,0.9468103905283619
GGG_2014B,765,9,0.9262486525332375
GGG_2014J,689,27,0.9854313824419778
